City_ID,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Date
66,Williamsport,41.2412,-77.0011,285.44,92,100,1.54,US,moderate rain,2024-05-10 03:47:36
67,Georgetown,5.4112,100.3354,306.11,70,20,2.57,MY,haze,2024-05-10 03:47:33
68,Tolanaro,-25.0319,46.9987,296.19,78,20,6.17,MG,few clouds,2024-05-10 03:48:15
69,Ebon,4.582,168.6964,301.43,80,77,3.4,MH,light rain,2024-05-10 03:48:16
70,Itoman,26.1247,127.6694,299.36,52,75,4.63,JP,broken clouds,2024-05-10 03:44:28
71,Macapa,0.0389,-51.0664,300.14,94,40,2.06,BR,scattered clouds,2024-05-10 03:45:09
72,Flying Fish Cove,-10.4217,105.6791,300.97,83,100,6.17,CX,overcast clouds,2024-05-10 03:48:16
73,Nuuk,64.1835,-51.7216,272.49,100,75,5.14,GL,broken clouds,2024-05-10 03:48:16
74,Retreat,38.8245,-85.8533,289.68,97,26,2.79,US,scattered clouds,2024-05-10 03:48:17
75,Kodiak,57.79,-152.4072,278.88,56,20,5.14,US,light rain,2024-05-10 03:45:49
76,Nakasongola,1.3089,32.4564,291.64,97,89,1.75,UG,light rain,2024-05-10 03:48:17
77,Tarko-Sale,64.9225,77.785,275.12,99,100,8.66,RU,overcast clouds,2024-05-10 03:48:17
78,Afaahiti,-17.75,-149.2833,301.08,79,18,3.82,PF,few clouds,2024-05-10 03:48:17
79,Albany,42.6001,-73.9662,286.38,66,100,1.49,US,overcast clouds,2024-05-10 03:45:22
80,West Island,-12.1568,96.8225,301.14,74,100,9.26,CC,overcast clouds,2024-05-10 03:48:18
81,Medicine Hat,50.0501,-110.6683,288.32,53,40,3.6,CA,scattered clouds,2024-05-10 03:45:01
82,Usakos,-22.0,15.6,295.25,39,7,2.52,NA,clear sky,2024-05-10 03:48:18
83,Bage,-31.3314,-54.1069,284.53,66,100,4.01,BR,overcast clouds,2024-05-10 03:48:18
84,Labrador City,52.9463,-66.9114,273.25,58,0,0.0,CA,clear sky,2024-05-10 03:48:18
85,Alupka,44.4167,34.05,285.07,53,49,6.19,UA,scattered clouds,2024-05-10 03:48:18
86,Damara,4.9608,18.7035,296.68,87,91,1.55,CF,overcast clouds,2024-05-10 03:48:19
87,Mokhotlong,-29.2894,29.0675,281.22,55,0,0.64,LS,clear sky,2024-05-10 03:48:19
88,Juba,4.8517,31.5825,298.0,72,96,1.58,SS,overcast clouds,2024-05-10 03:48:19
89,Sabinas,27.85,-101.1167,306.51,18,32,5.81,MX,scattered clouds,2024-05-10 03:48:19
90,Avarua,-21.2078,-159.775,301.18,89,75,5.14,CK,light rain,2024-05-10 03:47:00
91,Kalmunai,7.4167,81.8167,303.53,68,97,3.08,LK,overcast clouds,2024-05-10 03:48:19
92,Opuwo,-18.0607,13.84,294.27,51,41,2.8,NA,scattered clouds,2024-05-10 03:48:20
93,Bandarbeyla,9.4942,50.8122,302.13,73,87,2.39,SO,overcast clouds,2024-05-10 03:48:20
94,Jerez De La Frontera,36.6865,-6.1361,292.96,44,0,8.23,ES,clear sky,2024-05-10 03:48:20
95,Puerto Deseado,-47.7503,-65.8938,278.59,92,100,7.23,AR,moderate rain,2024-05-10 03:48:20
96,Iskateley,67.6803,53.1512,271.49,95,100,11.62,RU,snow,2024-05-10 03:48:20
97,Xinzhi,36.4989,111.7047,301.18,38,80,3.09,CN,broken clouds,2024-05-10 03:48:21
98,Tura,25.5198,90.2201,304.62,40,61,1.3,IN,broken clouds,2024-05-10 03:48:21
99,Banda Aceh,5.5577,95.3222,303.37,67,79,1.11,ID,broken clouds,2024-05-10 03:48:21
100,Balykshi,47.0667,51.8667,282.15,53,40,5.0,KZ,scattered clouds,2024-05-10 03:48:21
101,Baruun-Urt,46.6806,113.2792,275.24,88,100,9.56,MN,overcast clouds,2024-05-10 03:44:54
102,Fale Old Settlement,-9.3852,-171.2468,302.48,72,100,1.71,TK,overcast clouds,2024-05-10 03:48:21
103,Happy Valley-Goose Bay,53.3168,-60.3315,275.32,87,75,1.54,CA,broken clouds,2024-05-10 03:46:14
104,Carnarvon,-24.8667,113.6333,300.1,47,29,1.91,AU,scattered clouds,2024-05-10 03:48:22
105,Vorgashor,67.5833,63.95,270.82,74,100,8.81,RU,overcast clouds,2024-05-10 03:48:22
106,La Gi,10.6667,107.7833,305.86,59,64,8.24,VN,broken clouds,2024-05-10 03:48:22
107,Gadzhiyevo,69.2551,33.3362,272.67,85,100,6.41,RU,overcast clouds,2024-05-10 03:48:22
108,Khash,28.2211,61.2158,294.61,32,0,3.5,IR,clear sky,2024-05-10 03:48:22
109,Katabu,-4.9333,122.5167,304.58,53,50,3.65,ID,scattered clouds,2024-05-10 03:48:23
110,Vadso,70.0744,29.7487,272.24,74,75,4.12,NO,broken clouds,2024-05-10 03:48:23
111,Vilyuchinsk,52.9306,158.4028,281.3,64,32,4.23,RU,scattered clouds,2024-05-10 03:48:23
112,Nabire,-3.3667,135.4833,301.92,83,93,2.15,ID,overcast clouds,2024-05-10 03:48:23
113,Puerto Ayacucho,5.6639,-67.6236,298.07,94,100,1.35,VE,overcast clouds,2024-05-10 03:45:12
114,Olonkinbyen,70.9221,-8.7187,270.94,77,38,8.08,SJ,scattered clouds,2024-05-10 03:48:24
115,Puerto Baquerizo Moreno,-0.9,-89.6,296.16,87,70,4.11,EC,broken clouds,2024-05-10 03:48:24
116,Twon-Brass,4.3151,6.2418,302.04,79,100,4.37,NG,overcast clouds,2024-05-10 03:48:24
117,Puerto Colombia,10.9878,-74.9547,300.2,86,100,2.52,CO,light rain,2024-05-10 03:48:24
118,Nemuro,43.3236,145.575,281.35,79,55,2.43,JP,broken clouds,2024-05-10 03:48:24
119,San Ignacio De Velasco,-16.3667,-60.95,293.7,86,26,1.4,BO,scattered clouds,2024-05-10 03:48:24
120,Ancud,-41.8697,-73.8203,281.86,79,84,2.92,CL,light rain,2024-05-10 03:46:33
121,Sechura,-5.5569,-80.8222,294.61,76,100,7.89,PE,overcast clouds,2024-05-10 03:48:25
122,Mumford,5.2618,-0.759,301.23,81,100,3.54,GH,overcast clouds,2024-05-10 03:48:25
123,Dzuunharaa,48.8523,106.4579,281.04,45,99,10.18,MN,overcast clouds,2024-05-10 03:48:25
124,Padang,-0.9492,100.3543,304.18,74,94,1.53,ID,overcast clouds,2024-05-10 03:48:26
125,Arraial Do Cabo,-22.9661,-42.0278,297.03,89,8,3.2,BR,clear sky,2024-05-10 03:48:26
126,Palmer,42.1584,-72.3287,286.9,68,100,1.54,US,overcast clouds,2024-05-10 03:48:26
127,Isafjordur,66.0755,-23.124,274.7,84,97,1.23,IS,overcast clouds,2024-05-10 03:48:26
128,Klyuchi,52.2667,79.1667,292.31,58,100,5.27,RU,overcast clouds,2024-05-10 03:48:26
129,Bagan,54.1001,77.6646,295.19,51,91,6.18,RU,overcast clouds,2024-05-10 03:48:26
130,Ushuaia,-54.8,-68.3,275.96,65,40,7.2,AR,scattered clouds,2024-05-10 03:45:08
131,Queenstown,-31.8976,26.8753,289.77,43,24,3.44,ZA,few clouds,2024-05-10 03:48:27
132,Luderitz,-26.6481,15.1594,285.74,84,0,3.97,NA,clear sky,2024-05-10 03:48:27
133,Bloomfield,40.8068,-74.1854,289.96,68,100,3.6,US,overcast clouds,2024-05-10 03:48:27
134,Zhob,31.3411,69.4481,300.61,26,48,1.92,PK,scattered clouds,2024-05-10 03:44:08
135,Port Elizabeth,-33.918,25.5701,288.31,96,75,3.6,ZA,broken clouds,2024-05-10 03:48:27
136,Saint-Francois,46.4154,3.9054,280.73,94,100,1.03,FR,fog,2024-05-10 03:48:28
137,Nishinoomote,30.7333,131.0,296.46,56,75,3.09,JP,broken clouds,2024-05-10 03:48:28
138,Egilsstadir,65.2653,-14.3948,275.1,87,0,1.54,IS,clear sky,2024-05-10 03:48:28
139,Puerto Ayora,-0.7393,-90.3518,296.23,97,69,2.31,EC,broken clouds,2024-05-10 03:48:28
